Notice Number,Description,Country,Publication Date,Deadline,buyer_name,buyer_email,tender_id,organisations,value_original,currency_original,value_inr,start_date,end_date,pdf_link
504898-2024,Poland – Pharmaceutical products – Successive purchases and deliveries of medicines for the Wielkopolska Rheumatology Center. Dr. Wiesław Romanowski in Śrem,Poland,22/08/2024,23/09/2024 08:00:00 (UTC+02:00),Greater Poland Rheumatology Center Dr. Wiesław Romanowski in Śrem,por@reumatologia.srem.net,8fbb9ba9-447a-4ea9-9199-70d46cfa82e3 - 01,"[{""Org ID"": ""ORG-0001"", ""Official Name"": ""Greater Poland Rheumatology Center Dr. Wies\u0142aw Romanowski in \u015arem"", ""Registration Number"": ""630833353"", ""Roles"": [""Buyer""]}, {""Org ID"": ""ORG-0002"", ""Official Name"": ""National Chamber of Appeal"", ""Registration Number"": ""NIP 5262239325"", ""Roles"": [""Organisation providing more information on the review procedures"", ""Review organisation""]}]",N/A,N/A,N/A,01/01/2025,N/A,https://ted.europa.eu/en/notice/504898-2024/pdf
412283-2024,Czechia - Immunosuppressive agents - Supply of medicinal products for treatment with the active substance Adalimumab,Czechia,10/07/2024,12/07/2024 09:00:00 (UTC+02:00),"Hospital in Frýdek-Místek, contribution organization",mackova@nemfm.cz,3d88f6c3-584c-44df-aa2b-d90960bae3da - 01,"[{""Org ID"": ""ORG-0001"", ""Official Name"": ""Hospital in Fr\u00fddek-M\u00edstek, contribution organization"", ""Registration Number"": ""00534188"", ""Roles"": [""Buyer""]}, {""Org ID"": ""ORG-0002"", ""Official Name"": ""Office for the Protection of Economic Competition"", ""Registration Number"": ""65349423"", ""Roles"": [""Organisation providing more information on the review procedures"", ""Review organisation""]}]","98 952 384,00",CZK,"414,610,488.96 INR",16/09/2024,N/A,https://ted.europa.eu/en/notice/412283-2024/pdf
380691-2024,Poland – Pharmaceutical products – Delivery of program medicines,Poland,27/06/2024,09/07/2024 11:00:00 (UTC+02:00),Provincial Hospital named after John Paul II in Bełchatów,z.publiczne@szpital-belchatow.pl,1209d83e-2ac6-4211-8f0e-478ea63c6b33 - 01,"[{""Org ID"": ""ORG-0001"", ""Official Name"": ""Provincial Hospital named after John Paul II in Be\u0142chat\u00f3w"", ""Registration Number"": ""NIP: 7691787666"", ""Roles"": [""Buyer""]}, {""Org ID"": ""ORG-0002"", ""Official Name"": ""Public Procurement Office"", ""Registration Number"": ""NIP: 5262239325"", ""Roles"": [""Organisation providing more information on the review procedures"", ""Review organisation""]}, {""Org ID"": ""ORG-0003"", ""Official Name"": ""Arbitration Court at the General Prosecutor's Office of the Republic of Poland"", ""Registration Number"": ""REGON: 140264957"", ""Roles"": [""Mediation organisation""]}]","9 707 589,28",PLN,"233,661,673.97 INR",N/A,N/A,https://ted.europa.eu/en/notice/380691-2024/pdf
361660-2024,Poland – Pharmaceutical products – Delivery of program medicines,Poland,19/06/2024,03/07/2024 11:00:00 (UTC+02:00),Provincial Hospital named after John Paul II in Bełchatów,z.publiczne@szpital-belchatow.pl,5b9ef869-2eed-4a57-a05a-8fd590dfc6b5 - 01,"[{""Org ID"": ""ORG-0001"", ""Official Name"": ""Provincial Hospital named after John Paul II in Be\u0142chat\u00f3w"", ""Registration Number"": ""NIP: 7691787666"", ""Roles"": [""Buyer""]}, {""Org ID"": ""ORG-0002"", ""Official Name"": ""Public Procurement Office"", ""Registration Number"": ""NIP: 5262239325"", ""Roles"": [""Organisation providing more information on the review procedures"", ""Review organisation""]}, {""Org ID"": ""ORG-0003"", ""Official Name"": ""Arbitration Court at the General Prosecutor's Office of the Republic of Poland"", ""Registration Number"": ""REGON: 140264957"", ""Roles"": [""Mediation organisation""]}]","9 707 589,28",PLN,"233,661,673.97 INR",N/A,N/A,https://ted.europa.eu/en/notice/361660-2024/pdf
334719-2024,Czechia - Immunosuppressive agents - Supply of medicinal products for treatment with the active substance Adalimumab,Czechia,06/06/2024,09/07/2024 09:00:00 (UTC+02:00),"Hospital in Frýdek-Místek, contribution organization",mackova@nemfm.cz,8572bff4-a7cc-4d77-b638-d188ffe68097 - 01,"[{""Org ID"": ""ORG-0001"", ""Official Name"": ""Hospital in Fr\u00fddek-M\u00edstek, contribution organization"", ""Registration Number"": ""00534188"", ""Roles"": [""Buyer""]}, {""Org ID"": ""ORG-0002"", ""Official Name"": ""Office for the Protection of Economic Competition"", ""Registration Number"": ""65349423"", ""Roles"": [""Organisation providing more information on the review procedures"", ""Review organisation""]}]","98 952 384,00",CZK,"414,610,488.96 INR",16/09/2024,N/A,https://ted.europa.eu/en/notice/334719-2024/pdf
329290-2024,Poland – Pharmaceutical products – Delivery of program medicines,Poland,04/06/2024,01/07/2024 11:00:00 (UTC+02:00),Provincial Hospital named after John Paul II in Bełchatów,z.publiczne@szpital-belchatow.pl,d4bf2dd2-535f-46d1-8cbf-c30a1f01b2f5 - 01,"[{""Org ID"": ""ORG-0001"", ""Official Name"": ""Provincial Hospital named after John Paul II in Be\u0142chat\u00f3w"", ""Registration Number"": ""NIP: 7691787666"", ""Roles"": [""Buyer""]}, {""Org ID"": ""ORG-0002"", ""Official Name"": ""Public Procurement Office"", ""Registration Number"": ""NIP: 5262239325"", ""Roles"": [""Organisation providing more information on the review procedures"", ""Review organisation""]}, {""Org ID"": ""ORG-0003"", ""Official Name"": ""Arbitration Court at the General Prosecutor's Office of the Republic of Poland"", ""Registration Number"": ""REGON: 140264957"", ""Roles"": [""Mediation organisation""]}]","9 707 589,28",PLN,"233,661,673.97 INR",N/A,N/A,https://ted.europa.eu/en/notice/329290-2024/pdf
325416-2024,Poland – Pharmaceutical products – Delivery of various medicines and infusion fluids,Poland,03/06/2024,01/07/2024 11:00:00 (UTC+02:00),Provincial Hospital named after John Paul II in Bełchatów,z.publiczne@szpital-belchatow.pl,63763f51-a0c3-480b-83c3-59c297f2c3a6 - 01,"[{""Org ID"": ""ORG-0001"", ""Official Name"": ""Provincial Hospital named after John Paul II in Be\u0142chat\u00f3w"", ""Registration Number"": ""NIP: 7691787666"", ""Roles"": [""Buyer""]}, {""Org ID"": ""ORG-0002"", ""Official Name"": ""Public Procurement Office"", ""Registration Number"": ""NIP: 5262239325"", ""Roles"": [""Organisation providing more information on the review procedures"", ""Review organisation""]}, {""Org ID"": ""ORG-0003"", ""Official Name"": ""Arbitration Court at the General Prosecutor's Office of the Republic of Poland"", ""Registration Number"": ""REGON: 140264957"", ""Roles"": [""Mediation organisation""]}]","9 707 589,28",PLN,"233,661,673.97 INR",N/A,N/A,https://ted.europa.eu/en/notice/325416-2024/pdf
325108-2024,"Germany – Pharmaceutical products – Drug awards for January 1st, 2025 and July 1st, 2025 - Lots 1 to 600 of 2428",Germany,03/06/2024,30/06/2024 23:59:59 (UTC+02:00),PBMG eG,pbmg@pbmg.org,b1b4eb27-951b-4982-a290-613564b73c99 - 01,"[{""Org ID"": ""ORG-0001"", ""Official Name"": ""PBMG eG"", ""Registration Number"": ""Genossenschaftsregister: Amtsgericht Hamburg GenR 1069"", ""Roles"": [""Organisation providing additional information about the procurement procedure"", ""Buyer""]}, {""Org ID"": ""ORG-0002"", ""Official Name"": ""tax authority"", ""Registration Number"": ""---"", ""Roles"": [""Review organisation""]}]",N/A,N/A,N/A,01/07/2025,N/A,https://ted.europa.eu/en/notice/325108-2024/pdf
286290-2024,"Czechia – Immunosuppressive agents – Supplies of medicinal products with the active ingredient adalimumab, ATC group L04AB04, for Nemocnica Boskovice s.r.o.",Czechia,15/05/2024,17/06/2024 10:00:00 (UTC+02:00),Nemocnice Boskovice s.r.o.,hlavacek@tendera.cz,8ff7d2d9-3073-4c5d-a068-44d4fe5df2df - 01,"[{""Org ID"": ""ORG-0001"", ""Official Name"": ""TENDERA partners, s.r.o."", ""Registration Number"": ""08668477"", ""Roles"": [""Organisation providing additional information about the procurement procedure"", ""Procurement service provider""]}, {""Org ID"": ""ORG-0002"", ""Official Name"": ""Office for the Protection of Economic Competition"", ""Registration Number"": ""65349423"", ""Roles"": [""Organisation providing more information on the review procedures"", ""Review organisation""]}, {""Org ID"": ""ORG-0003"", ""Official Name"": ""Nemocnice Boskovice s.r.o."", ""Registration Number"": ""26925974"", ""Roles"": [""Buyer""]}]","8 000 000,00",CZK,"33,520,000.00 INR",12/07/2024,N/A,https://ted.europa.eu/en/notice/286290-2024/pdf
281375-2024,"Germany – Pharmaceutical products – OpenHouse procedure Various active pharmaceutical ingredients from October 1st, 2024",Germany,13/05/2024,05/08/2026 12:00:00 (UTC+02:00),AOK Rheinland/Hamburg - Die Gesundheitskasse,open-house@rh.aok.de,f7e60cbc-cea6-4b65-b575-a9deeab79875 - 01,"[{""Org ID"": ""ORG-0001"", ""Official Name"": ""AOK Rheinland/Hamburg - Die Gesundheitskasse"", ""Registration Number"": ""104212505"", ""Roles"": [""Organisation providing additional information about the procurement procedure"", ""Buyer""]}, {""Org ID"": ""ORG-0002"", ""Official Name"": ""Vergabekammer des Bundes"", ""Registration Number"": ""nicht bekannt"", ""Roles"": [""Review organisation""]}, {""Org ID"": ""ORG-0003"", ""Official Name"": ""Public Purchasing Data Service (responsible for the Procurement Office of the BMI)"", ""Registration Number"": ""0204:994-DOEVD-83"", ""Roles"": [""TED eSender""]}]",N/A,N/A,N/A,N/A,N/A,https://ted.europa.eu/en/notice/281375-2024/pdf
263444-2024,Poland – Medical consumables – Delivery of specialized medical equipment for the Operating Room Complex along with medicinal products,Poland,03/05/2024,09/05/2024 10:00:00 (UTC+02:00),Szpital Uniwersytecki nr 1 im. dr. A. Jurasza w Bydgoszczy,k.kolodziejska@jurasza.pl,fb711633-fa79-4acc-8acb-523449b0ee7b - 01,"[{""Org ID"": ""ORG-0001"", ""Official Name"": ""Szpital Uniwersytecki nr 1 im. dr. A. Jurasza w Bydgoszczy"", ""Registration Number"": ""001126074"", ""Roles"": [""Buyer"", ""Organisation receiving requests to participate"", ""Organisation processing tenders""]}, {""Org ID"": ""ORG-0002"", ""Official Name"": ""NATIONAL CHAMBER OF APPEALS"", ""Registration Number"": ""5262239325"", ""Roles"": [""Review organisation""]}, {""Org ID"": ""ORG-0003"", ""Official Name"": ""ARBITRATION COURT AT THE GENERAL PROSECUTOR'S OFFICE OF THE REPUBLIC OF POLAND"", ""Registration Number"": ""140264957"", ""Roles"": [""Mediation organisation""]}, {""Org ID"": ""ORG-0004"", ""Official Name"": ""PUBLIC PROCUREMENT OFFICE"", ""Registration Number"": ""010828091"", ""Roles"": [""Organisation providing more information on the review procedures""]}]","8 087 129,50",PLN,"194,657,207.06 INR",N/A,N/A,https://ted.europa.eu/en/notice/263444-2024/pdf
229647-2024,Poland – Medical consumables – Delivery of specialized medical equipment for the Operating Room Complex along with medicinal products,Poland,18/04/2024,07/05/2024 10:00:00 (UTC+02:00),Szpital Uniwersytecki nr 1 im. dr. A. Jurasza w Bydgoszczy,k.kolodziejska@jurasza.pl,181d534e-756c-432b-8acb-a4a396021c3a - 01,"[{""Org ID"": ""ORG-0001"", ""Official Name"": ""Szpital Uniwersytecki nr 1 im. dr. A. Jurasza w Bydgoszczy"", ""Registration Number"": ""001126074"", ""Roles"": [""Buyer"", ""Organisation receiving requests to participate"", ""Organisation processing tenders""]}, {""Org ID"": ""ORG-0002"", ""Official Name"": ""NATIONAL CHAMBER OF APPEALS"", ""Registration Number"": ""5262239325"", ""Roles"": [""Review organisation""]}, {""Org ID"": ""ORG-0003"", ""Official Name"": ""ARBITRATION COURT AT THE GENERAL PROSECUTOR'S OFFICE OF THE REPUBLIC OF POLAND"", ""Registration Number"": ""140264957"", ""Roles"": [""Mediation organisation""]}, {""Org ID"": ""ORG-0004"", ""Official Name"": ""PUBLIC PROCUREMENT OFFICE"", ""Registration Number"": ""010828091"", ""Roles"": [""Organisation providing more information on the review procedures""]}]","8 087 129,50",PLN,"194,657,207.06 INR",N/A,N/A,https://ted.europa.eu/en/notice/229647-2024/pdf
226847-2024,Czechia - Immunosuppressive agents - Immunosupressiva_inhibitory TNF alfa_AdalimumabII. - s.c. filing,Czechia,17/04/2024,21/05/2024 13:00:00 (UTC+02:00),Institute of Clinical and Experimental Medicine,monika.siskova@ikem.cz,3e2f5748-1964-4147-a844-80e4769d4b65 - 01,"[{""Org ID"": ""ORG-0001"", ""Official Name"": ""Institute of Clinical and Experimental Medicine"", ""Registration Number"": ""00023001"", ""Roles"": [""Organisation providing additional information about the procurement procedure"", ""Buyer"", ""Organisation providing offline access to the procurement documents""]}, {""Org ID"": ""ORG-0002"", ""Official Name"": ""Office for the Protection of Economic Competition"", ""Registration Number"": ""65349423"", ""Roles"": [""Organisation providing more information on the review procedures"", ""Review organisation""]}]","12 365 000,00",CZK,"51,809,350.00 INR",30/07/2024,N/A,https://ted.europa.eu/en/notice/226847-2024/pdf
183280-2024,Poland – Medical consumables – Delivery of specialized medical equipment for the Operating Room Complex along with medicinal products,Poland,27/03/2024,29/04/2024 10:00:00 (UTC+02:00) / 26/04/2024 10:00:00 (UTC+02:00),Szpital Uniwersytecki nr 1 im. dr. A. Jurasza w Bydgoszczy,k.kolodziejska@jurasza.pl,67d4eb6f-8bc4-4d74-8f74-c58e414364ac - 01,"[{""Org ID"": ""ORG-0001"", ""Official Name"": ""Szpital Uniwersytecki nr 1 im. dr. A. Jurasza w Bydgoszczy"", ""Registration Number"": ""001126074"", ""Roles"": [""Buyer"", ""Organisation receiving requests to participate"", ""Organisation processing tenders""]}, {""Org ID"": ""ORG-0002"", ""Official Name"": ""NATIONAL CHAMBER OF APPEALS"", ""Registration Number"": ""5262239325"", ""Roles"": [""Review organisation""]}, {""Org ID"": ""ORG-0003"", ""Official Name"": ""ARBITRATION COURT AT THE GENERAL PROSECUTOR'S OFFICE OF THE REPUBLIC OF POLAND"", ""Registration Number"": ""140264957"", ""Roles"": [""Mediation organisation""]}, {""Org ID"": ""ORG-0004"", ""Official Name"": ""PUBLIC PROCUREMENT OFFICE"", ""Registration Number"": ""010828091"", ""Roles"": [""Organisation providing more information on the review procedures""]}]","8 087 129,50",PLN,"194,657,207.06 INR",N/A,N/A,https://ted.europa.eu/en/notice/183280-2024/pdf
157925-2024,Germany – Pharmaceutical products – Conclusion of non-exclusive discount agreements in accordance with Section 130a Paragraph 8 SGB V (open house model),Germany,15/03/2024,01/03/2026 12:00:00 (UTC+01:00),am-vertragsteam@he.aok.de,am-vertragsteam@he.aok.de,e7878e76-3c7f-4c2f-9c07-7b46be0c7ff2 - 01,"[{""Org ID"": ""ORG-0001"", ""Official Name"": ""am-vertragsteam@he.aok.de"", ""Registration Number"": ""DE114110216"", ""Roles"": [""Buyer"", ""Review organisation""]}]",N/A,N/A,N/A,01/05/2024,30/04/2026,https://ted.europa.eu/en/notice/157925-2024/pdf
105564-2024,Germany – Pharmaceutical products – Conclusion of non-exclusive discount agreements in accordance with Sections 130a Paragraph 8/130c Paragraph 1 SGB V for medicines with the active ingredient Adalimumab (L04AB04) as part of a so-called open house model.,Germany,20/02/2024,31/01/2026 23:59:00 (UTC+01:00),AOK Rheinland-Pfalz/Saarland- Die Gesundheitskasse,am_vertraege@rps.aok.de,e4fc0f00-c6c8-4337-8e3d-17269ed76327 - 01,"[{""Org ID"": ""ORG-0001"", ""Official Name"": ""AOK Rheinland-Pfalz/Saarland- Die Gesundheitskasse"", ""Registration Number"": ""DE271900642"", ""Roles"": [""Organisation providing additional information about the procurement procedure"", ""Buyer"", ""Organisation receiving requests to participate"", ""Organisation providing offline access to the procurement documents""]}, {""Org ID"": ""ORG-0002"", ""Official Name"": ""Die Vergabekammern des Bundes"", ""Registration Number"": ""t:022894990"", ""Roles"": [""Review organisation""]}, {""Org ID"": ""ORG-0003"", ""Official Name"": ""Beschaffungsamt des BMI"", ""Registration Number"": ""994-DOEVD-83"", ""Roles"": [""TED eSender""]}]",N/A,N/A,N/A,01/04/2024,31/03/2026,https://ted.europa.eu/en/notice/105564-2024/pdf
29744-2024,"Germany – Pharmaceutical products – Open house drug discount agreementsAdalimumab, ATC L04AB04",Germany,16/01/2024,05/01/2026 12:00:00 (UTC+01:00),AOK Bayern - Die Gesundheitskasse,vergabestelle1@by.aok.de,84ceae21-b86d-4533-86c3-ef07d5e0149f - 01,"[{""Org ID"": ""ORG-0003"", ""Official Name"": ""Beschaffungsamt des BMI"", ""Registration Number"": ""994-DOEVD-83"", ""Roles"": [""TED eSender""]}, {""Org ID"": ""ORG-0001"", ""Official Name"": ""AOK Bayern - Die Gesundheitskasse"", ""Registration Number"": ""DE811695320"", ""Roles"": [""Organisation providing additional information about the procurement procedure"", ""Buyer""]}, {""Org ID"": ""ORG-0002"", ""Official Name"": ""Vergabekammern des Bundes beim Bundeskartellamt"", ""Registration Number"": ""t:022894990"", ""Roles"": [""Review organisation""]}]",N/A,N/A,N/A,01/03/2024,28/02/2026,https://ted.europa.eu/en/notice/29744-2024/pdf
